ROI,Network,shortname
RED_NUCLEUS_LEFT,Motor-subcortical,MSC
RED_NUCLEUS_RIGHT,Motor-subcortical,MSC
SUBSTANTIA_NIGRA_LEFT,Motor-subcortical,MSC
SUBSTANTIA_NIGRA_RIGHT,Motor-subcortical,MSC
SUBTHALAMIC_NUCLEUS_LEFT,Motor-subcortical,MSC
SUBTHALAMIC_NUCLEUS_RIGHT,Motor-subcortical,MSC
CAUDATE_LEFT,Motor-subcortical,MSC
CAUDATE_RIGHT,Motor-subcortical,MSC
PUTAMEN_LEFT,Motor-subcortical,MSC
PUTAMEN_RIGHT,Motor-subcortical,MSC
PALLIDUM_EXTERNAL_LEFT,Motor-subcortical,MSC
PALLIDUM_EXTERNAL_RIGHT,Motor-subcortical,MSC
PALLIDUM_INTERNAL_LEFT,Motor-subcortical,MSC
PALLIDUM_INTERNAL_RIGHT,Motor-subcortical,MSC
THALAMUS_LEFT,Others-subcortical,OSC
THALAMUS_RIGHT,Others-subcortical,OSC
HIPPOCAMPUS_LEFT,Others-subcortical,OSC
AMYGDALA_LEFT,Others-subcortical,OSC
CEREBELLUM_LEFT,Others-subcortical,OSC
ACCUMBENS_LEFT,Motor-subcortical,MSC
CEREBELLUM_RIGHT,Others-subcortical,OSC
HIPPOCAMPUS_RIGHT,Others-subcortical,OSC
AMYGDALA_RIGHT,Others-subcortical,OSC
ACCUMBENS_RIGHT,Motor-subcortical,MSC
