Diet,Networks,Mean,StdErr,Lower,Upper
BF,Lmb and Lmb,0.00886251830484196,0.00264595913186962,0.00276092560516938,0.0149641110045145
BF,Lmb and SoM,-0.00945142120870992,0.00112744568905934,-0.0120513156298989,-0.00685152678752097
BF,Lmb and Vis,-0.00830526897184119,0.00118707462876787,-0.0110426679745758,-0.00556786996910653
BF,SoM and SoM,0.0048097753503194,0.00270913560291017,-0.00143750255282027,0.0110570532534591
BF,SoM and Vis,-0.0130957967255467,0.0026440114138402,-0.0191928979793892,-0.00699869547170421
BF,Vis and Vis,-0.00179128365652121,0.00390154814915876,-0.0107882698221795,0.00720570250913704
SF,Lmb and Lmb,0.00855100284415314,0.00264595913186962,0.00244941014448057,0.0146525955438257
SF,Lmb and SoM,-0.00780285925959915,0.00112744568905934,-0.0104027536807881,-0.00520296483841019
SF,Lmb and Vis,-0.0102737491745137,0.00118707462876787,-0.0130111481772484,-0.00753635017177904
SF,SoM and SoM,0.00290346551189758,0.00270913560291017,-0.00334381239124209,0.00915074341503725
SF,SoM and Vis,-0.0116974790157136,0.0026440114138402,-0.0177945802695561,-0.0056003777618711
SF,Vis and Vis,0.00188499364026158,0.00390154814915876,-0.00711199252539668,0.0108819798059198
UF,Lmb and Lmb,0.00497015037342544,0.00264595913186962,-0.00113144232624714,0.011071743073098
UF,Lmb and SoM,-0.00874491438598404,0.00112744568905934,-0.011344808807173,-0.00614501996479509
UF,Lmb and Vis,-0.0112628656438544,0.00118707462876787,-0.0140002646465891,-0.00852546664111974
UF,SoM and SoM,0.000241382805806932,0.00270913560291017,-0.00600589509733274,0.0064886607089466
UF,SoM and Vis,-0.0127796285915374,0.0026440114138402,-0.0188767298453799,-0.00668252733769484
UF,Vis and Vis,0.00395904434207814,0.00390154814915876,-0.00503794182358012,0.0129560305077364
XF,Lmb and Lmb,0.00555314663631273,0.00264595913186962,-0.000548446063359839,0.0116547393359853
XF,Lmb and SoM,-0.0072974686085205,0.00112744568905934,-0.00989736302970945,-0.00469757418733154
XF,Lmb and Vis,-0.0136531207420868,0.00118707462876787,-0.0163905197448214,-0.0109157217393521
XF,SoM and SoM,-0.00614919022726786,0.00270913560291017,-0.0123964681304075,9.80876758718127e-05
XF,SoM and Vis,-0.0160437122607748,0.0026440114138402,-0.0221408135146174,-0.00994661100693233
XF,Vis and Vis,0.00278008987679918,0.00390154814915876,-0.00621689628885907,0.0117770760424574
