Diet,age,Mean,StdErr,Lower,Upper
BF,1M,-0.010806237373402,0.00463949661110815,-0.0215049357438831,-0.000107539002920915
BF,3M,-0.0052558415966274,0.00211502276478839,-0.0101330928382804,-0.000378590354974424
BF,5M,-0.00472154287252677,0.0012214124074388,-0.00753812493487032,-0.00190496081018322
BF,7M,-0.000530985012024679,0.00448618405724609,-0.0108761439993212,0.0098141739752718
BF,9M,-0.0028939304866405,0.00212435506216406,-0.00779270204463273,0.00200484107135172
SF,1M,-0.00362567125861916,0.00463949661110815,-0.0143243696291003,0.00707302711186194
SF,3M,-0.00454852760444524,0.00211502276478839,-0.00942577884609821,0.000328723637207739
SF,5M,-0.00243432864001069,0.0012214124074388,-0.00525091070235424,0.000382253422332856
SF,7M,-0.0073411553433175,0.00448618405724609,-0.017686314330614,0.00300400364397898
SF,9M,-0.0049908778238051,0.00212435506216406,-0.00988964938179732,-9.21062658128758e-05
UF,1M,-0.00729450648608916,0.00463949661110815,-0.0179932048565703,0.00340419188439194
UF,3M,-0.00510072472797222,0.00211502276478839,-0.00997797596962519,-0.000223473486319239
UF,5M,-0.00529456469300435,0.0012214124074388,-0.0081111467553479,-0.0024779826306608
UF,7M,-0.00684697542666389,0.00448618405724609,-0.0171921344139604,0.0034981835606326
UF,9M,-0.00571643840969752,0.00212435506216406,-0.0106152099676897,-0.000817666851705296
XF,1M,-0.00327591916114709,0.00463949661110815,-0.0139746175316282,0.00742277920933401
XF,3M,-0.00367743958238909,0.00211502276478839,-0.00855469082404206,0.00119981165926389
XF,5M,-0.00482077193957051,0.0012214124074388,-0.00763735400191405,-0.00200418987722696
XF,7M,-0.0130530767840164,0.00448618405724609,-0.0233982357713129,-0.00270791779671996
XF,9M,-0.0123349174257936,0.00212435506216406,-0.0172336889837858,-0.00743614586780138
