Networks,age,Mean,StdErr,Lower,Upper
Lmb and Lmb,1M,0.00553332557707838,0.00371281089724466,-0.0030284317051989,0.0140950828593557
Lmb and Lmb,3M,0.00650990407583759,0.00320301600365195,-0.00087626407370894,0.0138960722253841
Lmb and Lmb,5M,0.00754337109542572,0.00195509877790528,0.00303490522884354,0.0120518369620079
Lmb and Lmb,7M,0.00886493589387756,0.00391067357117197,-0.000153093532678653,0.0178829653204338
Lmb and Lmb,9M,0.00646948605619733,0.00221430465438217,0.00136329036659022,0.0115756817458044
Lmb and SoM,1M,-0.0101981839709143,0.00187326986917773,-0.0145179520355916,-0.00587841590623714
Lmb and SoM,3M,-0.00962695065307061,0.0010743100630981,-0.0121043141010663,-0.00714958720507494
Lmb and SoM,5M,-0.00599012468661222,0.00131630463855506,-0.0090255286263086,-0.00295472074691584
Lmb and SoM,7M,-0.00870324144251657,0.0022347288244357,-0.0138565353527252,-0.0035499475323079
Lmb and SoM,9M,-0.00710232857540327,0.00077853063927645,-0.00889762344895791,-0.00530703370184864
Lmb and Vis,1M,-0.0105478872362531,0.00276531478464674,-0.0169247145647896,-0.00417105990771646
Lmb and Vis,3M,-0.00943404555800433,0.00259698842074952,-0.0154227115953301,-0.00344537952067861
Lmb and Vis,5M,-0.00820477343634324,0.00220353257230814,-0.0132861286601429,-0.00312341821254359
Lmb and Vis,7M,-0.0123449571982157,0.0017924616920456,-0.0164783812722679,-0.00821153312416345
Lmb and Vis,9M,-0.0138370922365538,0.00296245151870739,-0.0206685176890349,-0.00700566678407265
SoM and SoM,1M,0.00272524745478846,0.00350039734687364,-0.00534668330195985,0.0107971782115368
SoM and SoM,3M,0.00594415056760116,0.00270521496943936,-0.000294086338542226,0.0121823874737445
SoM and SoM,5M,-0.000800855911873775,0.00183998164437002,-0.0050438611924908,0.00344214936874325
SoM and SoM,7M,-0.000741877321078364,0.00372252166722494,-0.00932602767908618,0.00784227303692945
SoM and SoM,9M,-0.00486987298849241,0.00409831094252363,-0.0143205949693044,0.00458084899231957
SoM and Vis,1M,-0.0138657283136503,0.00349888986605783,-0.0219341828134036,-0.00579727381389698
SoM and Vis,3M,-0.0115789134975112,0.00130781405312757,-0.0145947381121015,-0.0085630888829209
SoM and Vis,5M,-0.0112113705492557,0.00200706999861562,-0.0158396822657076,-0.00658305883280389
SoM and Vis,7M,-0.0181210998705279,0.00336311724013491,-0.0258764621334554,-0.0103657376076004
SoM and Vis,9M,-0.0122436585110206,0.0035082871577882,-0.0203337832043639,-0.00415353381767733
Vis and Vis,1M,0.00158105159854313,0.00661261594540523,-0.0136676681160783,0.0168297713131646
Vis and Vis,3M,0.00688315178916401,0.00221282630972106,0.00178036516845866,0.0119859384098693
Vis and Vis,5M,-0.000641155899520745,0.00395469539424442,-0.00976069983212124,0.00847838803307975
Vis and Vis,7M,-0.00102631586505434,0.00522899571678722,-0.0130844016109305,0.0110317698808219
Vis and Vis,9M,0.00174432363014007,0.00213653178245909,-0.00318252749520571,0.00667117475548585
