age_1,age_2,Difference,StdErr,pValue,Lower,Upper
5M,9M,0.0021662390002061,0.000838778615472767,0.281245015619044,-0.00103483497008527,0.00536731297049748
9M,5M,-0.0021662390002061,0.000838778615472767,0.281245015619044,-0.00536731297049748,0.00103483497008527
3M,9M,0.0018384076586257,0.00125183225943631,0.862782731971761,-0.00293902417729919,0.00661583949455058
9M,3M,-0.0018384076586257,0.00125183225943631,0.862782731971761,-0.00661583949455058,0.00293902417729919
5M,7M,0.00262524610522754,0.00242265367295614,0.975575829195589,-0.00662045170880129,0.0118709439192564
7M,5M,-0.00262524610522754,0.00242265367295614,0.975575829195589,-0.0118709439192564,0.00662045170880129
1M,5M,-0.00193278153353628,0.00197788685495803,0.987936301618632,-0.00948109286479146,0.00561552979771891
5M,1M,0.00193278153353628,0.00197788685495803,0.987936301618632,-0.00561552979771891,0.00948109286479146
3M,7M,0.00229741476364714,0.00245111276665724,0.991054760846442,-0.00705689295338133,0.0116517224806756
7M,3M,-0.00229741476364714,0.00245111276665724,0.991054760846442,-0.0116517224806756,0.00705689295338133
1M,3M,-0.00160495019195587,0.00276569119467589,0.999819536842847,-0.01215979974323,0.00894989935931824
3M,1M,0.00160495019195587,0.00276569119467589,0.999819536842847,-0.00894989935931824,0.01215979974323
3M,5M,-0.000327831341580404,0.0014227313143028,0.999999970736407,-0.00575747403027267,0.00510181134711186
5M,3M,0.000327831341580404,0.0014227313143028,0.999999970736407,-0.00510181134711186,0.00575747403027267
1M,7M,0.000692464571691266,0.00364218558719556,0.999999995583581,-0.0132073956096162,0.0145923247529987
7M,1M,-0.000692464571691266,0.00364218558719556,0.999999995583581,-0.0145923247529987,0.0132073956096162
7M,9M,-0.000459007105021441,0.00262503172251905,0.999999998067733,-0.0104770506783053,0.00955903646826238
9M,7M,0.000459007105021441,0.00262503172251905,0.999999998067733,-0.00955903646826238,0.0104770506783053
1M,9M,0.000233457466669823,0.00223471859265828,0.999999999988385,-0.00829501403454104,0.00876192896788068
9M,1M,-0.000233457466669823,0.00223471859265828,0.999999999988385,-0.00876192896788068,0.00829501403454104
